typo,orig,historique
RUE DU PELICAN,Corruption d'un nom obscène qui lui avait été donné en raison de la population qui l'habitait.,"Elle existait au commencement du XIVe siècle, en dehors de l'enceinte de Philippe-Auguste ; on la nomma d'abord rue du Poil au C... et ensuite rue du Pélican ; pendant la Révolution, rue Purgée, puis rue de la Barrière des Sergents. En 1806, elle reprit le nom de rue du Pélican."
CITE NICOLAS POUSSIN,"Nicolas Poussin (1594-1665), peintre français.",
COUR DE ROME,Voisinage de la rue de Rome.,Dépendance de la gare Saint-Lazare ; créée lors de la reconstruction de cette gare (1885-1888).
RUE GAILLON,"Hôtel de Gaillon, sur l'emplacement duquel s'élève l'église Saint-Roch.","En 1495, c'était la ruelle Michaut Riegnaut puis, en 1521 la rue Michaut Regnaut. En 1578, on l'a dénommée rue Gaillon. Elle s'étendait, à l'origine, de la rue Saint-Honoré à la porte Gaillon (sup.) (cette porte était située rue de La Michodière à 60 mètres environ de la rue Saint-Augustin). Cette porte fut abattue en 1700. On supprima alors une partie de la rue Gaillon qui finit alors rue Neuve Saint-Augustin (rue Saint-Augustin). La partie entre la rue Saint-Honoré et la rue Neuve des Petits Champs (rue des Petits Champs) prit au XVIIe siècle le nom de rue de Lorges puis celui de rue Neuve Saint-Roch et de rue Saint-Roch. Elle a porté pendant la Révolution le nom de rue de la Montagne. Elle est actuellement une partie de la rue Saint-Roch."
RUE CHAUVEAU-LAGARDE,"Claude François Chauveau-Lagarde (1756-1841), avocat français, l'un des défenseurs de Marie-Antoinette ; voisinage de la Chapelle expiatoire.",
RUE SAINT-GERMAIN L'AUXERROIS,Voisinage de l'église Saint-Germain l'Auxerrois.,"Elle existait au IXe siècle. En 1300, elle portait le nom de rue Saint-Germain à Couroiers. Ce fut ensuite la rue Saint-Germain ou la grande rue Saint-Germain. Le déc. du 24 février 1882, a supprimé une partie de la voie qui était comprise entre les rues des Bourdonnais et de la Monnaie (sur une longueur de 40 m environ au-delà des nos 23 et 36)."
RUE VINCENT COMPOINT,"M. Vincent Compoint, ancien propriétaire et cultivateur.","Avant 1884, la rue Vincent Compoint débouchait rue Montcalm. La partie qui était comprise entre la rue Montcalm et la rue Vincent Compoint actuelle est devenue la rue du Pôle Nord."
SQUARE RAYNOUARD,Voisinage de la rue Raynouard.,
ROUTE D'AUTEUIL A SURESNES,,Située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
ALLEE DES DAMES,,Située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
SQUARE PATENNE,"Adolphe Patenne (1852-1914), conseiller municipal du quartier et président du Conseil général.",Ouvert sur l'emplacement de l'ancienne usine à gaz de Saint-Mandé.
RUE DU BOIS DE BOULOGNE,Voisinage du bois de Boulogne.,Ouverte par M. Gateau.
AVENUE DU RECTEUR POINCARE,"Lucien Poincaré (1862-1920), vice-recteur de l'Académie de Paris.",Ouverte sur les terrains de l'ancien couvent de l'Assomption.
VILLA BOISSIERE,Voisinage de la rue Boissière.,"Précédemment, villa Michon. Créée en 1890."
VOIE CQ/12,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
CHEMIN DE L'ABBAYE,,Situé autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
RUE DURANTIN,Nom de propriétaire.,"La rue Durantin actuelle a été formée par la réunion à l'ancienne rue Durantin (partie A), de la rue Bastien (partie B) et du passage Masson (partie C)."
RUE CHRISTINE,"Bâtie à l'époque de la naissance de Christine de France (1606-1663), seconde fille de Henri IV et de Marie de Médicis.",Elle était construite en 1607.
RUE NOTRE-DAME DE BONNE NOUVELLE,Voisinage de l'église Notre-Dame de Bonne Nouvelle.,
RUE DU ROULE,Ancien fief du Roule.,
GALERIE DE MONTPENSIER,Voisinage de la rue de Montpensier.,"En 1849, galerie des Combats, antérieurement galerie Montpensier."
RUE BRIQUET,"M. Briquet, propriétaire.",
PLACE DES COMBATTANTES ET COMBATTANTS DU SIDA,"en hommage aux personnes décédées et vivant avec le VIH/sida. En rappel également du combat des personnels soignants, des accompagnants et des militants engagés dans la lutte contre le VIH/sida.",
RUE MIOLLIS,"Sextius Alexandre François Miollis (1759-1828), général de division ; voisinage de l'Ecole Militaire.",Précédemment rue Saint-Fiacre.
IMPASSE DES CHEVALIERS,Ancienne enseigne (au Chevalier de l'Arc).,
CHEMIN DE CEINTURE DU LAC SUPERIEUR,,Situé autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
PLACE DU CAIRE,Ouverte peu après l'entrée des troupes françaises au Caire.,"Place dénommée place d'Aboukir en 1849. Antérieurement, place du Caire."
RUE CRETET,"Emmanuel Cretet (1747-1809), ministre de l'Intérieur sous le Premier Empire.",
RUE DU CLOITRE SAINT-MERRI,Traversait autrefois le cloître de l'église Saint-Merri.,"Cette voie est indiquée dans le Dit des rues de Paris de Guillot (1300). Elle formait autrefois un coude qui aboutissait rue de la Verrerie ; ce tronçon est actuellement dénommé rue des Juges Consuls. Le percement du tronçon compris entre la rue des Juges Consuls et la rue du Renard est prévu sur le plan annexé à l'ordonnance royale du 11 avril 1827 concernant la vente de l'ancien hôtel du Tribunal de Commerce de Paris, situé dans le cloître Saint-Merri."
PASSAGE COTTIN,"M. Cottin, propriétaire.",
RUE ANDRE GILL,"André Gill (1840-1885), caricaturiste.",Ouverte par M. Voitier.
ROUTE DES FORTIFICATIONS,,Située autrefois sur le territoire de Charenton-le-Pont annexé à Paris par décret du 18 avril 1929.
RUE DES BLANCS MANTEAUX,L'église des Blancs Manteaux est située dans cette voie.,"Elle fut dénommée, au XIIIe siècle, rue de la Petite Parcheminerie, rue de la Vieille Parcheminerie, rue de la Parcheminerie ; à la fin du XIIIe siècle, rue des Blancs Manteaux ; au XVe siècle, rue des Parcheminiers ou des Blancs Manteaux."
RUE DU PENSIONNAT,Voisinage d'un pensionnat.,Précédemment cité du Trône.
RUE DU PLAT D'ETAIN,Dû à une enseigne (1489).,"Elle est indiquée dans `le Dit des Rues` de Guillot (1300), sous le nom de rue Raoul Lavenier."
RUE SAINT-NICOLAS,Tiré d'une enseigne.,Elle est indiquée sur le plan de Jouvin de Rochefort (1672).
SQUARE AUGUSTE RENOIR,"Pierre Auguste Renoir (1841-1919), peintre, aquarelliste, pastelliste et dessinateur français.","Précédemment, pour partie, impasse des Omnibus. Ouvert par la SAGI."
RUE DE LA CLOTURE,Lieu-dit clôture de Rouvray.,"Précédemment, partie de la rue du Débarcadère, située autrefois sur le territoire de Pantin, annexé à Paris par décret du 27 juillet 1930."
SQUARE DES BOULEAUX,,Elle avait été provisoirement dénommée CI/19.
RUE SAINT-SEBASTIEN,Ancienne enseigne.,"Les parties B et C formaient en 1718 la rue Neuve Saint-Sébastien, antérieurement rue Saint-Etienne. Elle est tracée sur le plan de Jouvin de Rochefort (1672)."
RUE MEDERIC,"Gilbert Védy dit Médéric (1902-1944), membre de l'Assemblée d'Alger, s'est empoisonné le 21 mars 1944 à la Préfecture de police pour échapper aux allemands.",Précédemment rue Guyot.
PLACE LUCIEN HERR,"Lucien Herr (1864-1926), bibliothécaire de l'Ecole normale supérieure.","A englobé une partie des rues Lhomond (précédemment, rue des Postes et plus anciennement, rue des Poteries ou des Pots) et Tournefort (précédemment, rue Neuve Sainte-Geneviève et, plus anciennement, ruelle Chartière)."
RUE LUCIEN BOSSOUTROT,"Jean-Baptiste Lucien Bossoutrot (Tulle, 1890-Paris, 1958), aviateur français.","Précédemment, branche sud du boulevard Victor."
RUE JOSEPH CHAILLEY,"Joseph Chailley (1854-1928), économiste et homme politique français, s'est particulièrement occupé des questions coloniales ; voisinage du Musée des arts africains et océaniens.",Ouverte par la Ville de Paris sur l'emplacement du bastion 5.
RUE JOSEPH KESSEL,"Joseph Kessel (Clara, Argentine, 1898-Avernes, 1979), écrivain et journaliste français. Membre de l'Académie française (1962).",Voie créée dans le cadre de l'aménagement de la Zac `Bercy`. Elle avait été provisoirement dénommée BW/12.
RUE DES PIROGUES DE BERCY,"Lors des travaux d'aménagement du Parc de Bercy plusieurs pirogues de chênes, datant de la période néolithique, ont été découvertes sur le site.",Voie créée dans le cadre de l'aménagement de la partie est de la Zac `Bercy`. Elle avait été provisoirement dénommée BU/12.
RUE JULES LEMAITRE,"François Jules Lemaître (1853-1914), littérateur et critique français.",Ouverte par la Ville de Paris sur l'emplacement du bastion 8.
RUE DE PONT-A-MOUSSON,"Ville lorraine, résista victorieusement aux assauts allemands pendant la guerre de 1914-1918.",Ouverte par la Ville de Paris sur l'emplacement du bastion 40.
SQUARE MOZART,"Johann Chrysostomus Wolfgang Gottlieb dit Wolfgang Amadeus Mozart (1756-1791), compositeur allemand. Voisinage de l'avenue Mozart.",Précédemment impasse Mozart.
RUE LACHELIER,"Jules Lachelier (1832-1918), philosophe français.",Ouverte par la Ville de Paris sur l'emplacement du bastion 89. Un arrêté préfectoral du 28 septembre 1961 a englobé dans la place de Port-au-Prince la partie de la rue Lachelier qui débouchait autrefois avenue de Choisy.
VILLA LA FRESNAYE,"Roger de La Fresnaye (1885-1925), peintre, dessinateur, graveur et sculpteur français.","Précédemment, impasse Mathurin Régnier."
RUE DE LASTEYRIE,"Charles de Lasteyrie (1877-1936), député de l'arrondissement.",Précédemment rue Malakoff.
AVENUE DE VERDUN,"Verdun, ville du département de la Meuse, célèbre par la bataille dont elle fut le centre en 1916 ; voisinage de la gare de l'Est.","Amorcée par la Ville de Paris en 1929 lors de l'agrandissement de la gare de l'Est. Le projet, approuvé par décret du 16 juillet 1936, qui devait prolonger l'avenue de Verdun entre le quai de Jemmapes et la place du Colonel Fabien a été abandonné."
RUE GERMAINE TAILLEFERRE,"Germaine Tailleferre (Saint-Maur, 1892-Paris, 1983) compositrice française. Elle est l'un des six compositeurs qui formèrent le ""groupe de six"".","Voie créée dans le cadre du lotissement ""Parcs des Musiciens"". Elle avait été provisoirement dénommée DS/19."
VOIE EZ/20,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
BELVEDERE WILLY RONIS,"Willy Ronis (Paris, 1910-Paris, 2009) artiste photographe qui a contribué à développer une photographie humaniste, notamment à Paris.",
VILLA MARCEL LODS,"Marcel Lods (1891-1978), architecte urbaniste.",Passage commun précédemment dénommé voie Q/19.
VOIE Y/19,,
RUE STEINLEN,"Théophile Alexandre Steinlen (1859-1924), peintre et graveur français.",Précédemment passage Tourlaque. C'était la rue Blandan vers 1910. Autrefois rue Fontaine Saint-Denis.
VOIE C/19,,
RUE RAOUL WALLENBERG,"Raoul Wallenberg (né en Suède en 1912), architecte. En tant que secrétaire de la légation suédoise à Budapest en 1944, il sauva 100 000 juifs hongrois de la déportation. Le 17 janvier 1945, il est enlevé par la police politique soviétique, puis déclaré officiellement décédé d'une crise cardiaque le 17 juillet 1947 dans la prison de la Loubianka à Moscou.","Voie créée dans le cadre de l'aménagement de la Zac ""Porte des Lilas"", précédemment dénommée voie CQ/19."
PLACE POSSOZ,"M. Possoz, maire de Passy sous Louis-Philippe et sous l'Empire.",
RUE PREVOST PARADOL,"Prévost Paradol (1829-1870), littérateur et publiciste.",Ouverte par la Ville de Paris sur l'emplacement du bastion 76.
RUE SAINT-JEAN-BAPTISTE DE LA SALLE,"Jean-Baptiste de la Salle (1651-1719), précurseur de l'enseignement collectif et fondateur de l'Institut des Frères des écoles chrétiennes.","Précédemment rue de La Barouillère, et plus anciennement rue des Vieilles Tuileries ; elle aurait aussi porté le nom de rue Saint-Michel. Ouverte par le Sieur de La Barouillère à la suite d'une vente consentie par l'abbé de Saint-Germain des Prés, le 8 octobre 1644."
SQUARE SAINT-ROMAIN,Voisinage de la rue Saint-Romain.,A fait l'objet de deux contrats de cour commune du 1er juin 1929 et du 27 février 1931.
PLACE FREHEL,"Marguerite Boulc'h, dite Fréhel (Paris, 1891-1951), célèbre chanteuse de Music-hall française, qui parut également dans quelques films marquants.",
AVENUE DE FRANCE,"Honneur fait à la France, qui n'était pas encore honorée par une voie de la capitale.","Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche` sur des terrains appartenant précédemment à la SNCF. Elle avait été provisoirement dénommée BJ/13. La partie comprise entre le boulevard Vincent Auriol, et le quai d'Austerlitz a été redénommée avenue Pierre Mendès France."
PLACE RAOUL FOLLEREAU,"Raoul Follereau (Nevers, 1903-Paris, 1977), consacra sa vie à la cause des lépreux. On le surnommait ""l'Apôtre des lépreux"" ou ""le Vagabond de la Charité"".","Précédemment, elle avait été dénommée place René Cassin par arr. mun. du 28 décembre 1981. Elle avait été provisoirement dénommée J/10."
ALLEE PIERRE MOLLARET,"Le professeur Pierre Mollaret (1898-1987), créa l'école française de réanimation à l'Hôpital Claude Bernard situé sur cet emplacement, et a permis une avancée considérable dans l'évolution des techniques médico-chirurgicales et thérapeutiques.","Voie créée dans le cadre de l'aménagement du secteur « Aubervilliers », précédemment voie DP/19."
PROMENADE SIGNORET-MONTAND,"Simone Kaminker dite Simone Signoret (Wiesbaden, 1921-Autheuil-Authouillet, 1985), actrice et comédienne française. Ivo Livi dit Yves Montand (Monsuamano, 1921-Paris, 1991), acteur et chanteur français.","La partie B au-delà du passage de Flandre a été baptisé promenade Florence Arthaud par délibération municipale des 29, 30 et 31 mars 2016."
RUE DE L'EMPEREUR JULIEN,"Julien l'Apostat (Constantinople 331 - Mésopotamie 363), empereur romain. Il est le premier à faire la description et à vanter dans ses écrits le charme de l'ancienne Lutèce, où à partir de 357, il prend ses quartiers pendant plusieurs hivers successifs.","Précédemment dénommée voie BI/14. Voie créée dans le cadre de l'aménagement de la Zac ""Alésia-Montsouris""."
VOIE AA/19,,
VOIE AB/20,,
RUE REMY DE GOURMONT,"Rémy de Gourmont (1858-1915), écrivain français.","Ouverte sur l'emplacement du stade Bergeyre, dans un lotissement appartenant à M. Pélissier. Précédemment, rue Rémy et Jean de Gourmont."
PLACE DE KYOTO,"Kyôto, ancienne capitale du Japon.",
RUE DU GENERAL ALAIN DE BOISSIEU,"Alain de Boissieu Déan de Luigné (Chartres, 1914-Clamart, 2006) militaire, compagnon de la Libération. Entré à l'école spéciale militaire de Saint Cyr, il poursuit sa formation militaire à l'Ecole d'application de la cavalerie de Saumur. Promu en 1945 chef d'escadron, il entre au cabinet militaire du Général de Gaulle, dont il devient le gendre en 1946. Titulaire de nombreuses décorations, sa carrière militaire est couronnée par le commandement de l'Ecole spéciale militaire de Saint Cyr en 1964 puis par le poste de chef d'état-major de l'Armée de terre de 1971 à 1975.",Rue précédemment dénommée voie DB/15.
PLACE FERNAND MOURLOT,Fernand Mourlot (1895-1988) lithographe d'édition d'art. Cet artisan a rendu à la lithographie son prestige en conjuguant technique traditionnelle et images modernes.,
RUE GASTON GALLIMARD,"Gaston Gallimard (Paris, 1881-Neuilly-sur-Seine, 1975) éditeur. Il contribua à la publication de nombreux prix littéraires.","Cette voie a été créée en 1907, sous le nom de square de l'Université. De 1911 à 1929, c'était une partie de la rue de Beaune. Précédemment, partie publique de la rue Sébastien Bottin."
PLACE ROCHAMBEAU,"Le comte Jean-Baptiste Donatien de Rochambeau (1725-1807), maréchal de France.",
RUE JEAN DU BELLAY,"Jean du Bellay (1492-1560), cardinal, évêque de Paris ; voisinage de Notre-Dame.",Précédemment rue du Bellay (1867)
PLACE MIKE BRANT,"Mike Brant, né Moshé Brandt (Nicosie (Chypre), 1947 - Paris, 1975), chanteur et compositeur israélien.",
AVENUE CONSTANT COQUELIN,"Constant Coquelin (1841-1909), acteur dramatique.",
RUE SEVERO,"Auguste Severo de Alburquerque-Maranhao (1864-1902), aéronaute brésilien, tombé du dirigeable ""Pax"" avenue du Maine, en face du n° 79.",Ouverte par l'Administration de l'Assistance publique.
PASSAGE PERREUR,"M. Perreur, propriétaire.",La partie du passage Perreur qui se terminait en impasse au-delà de la rue de la Dhuis a pris le nom de villa Perreur.
PLACE CHARLES FILLION,"Charles Fillion (1883-1917), conseiller municipal, mort au champ d'honneur.","Précédemment, place des Batignolles et plus anciennement place de la Promenade."
QUAI DES CELESTINS,Couvent des Célestins fondé en 1352.,"Cette voie existait à la fin du XIIIe siècle. Précédemment partie de la rue de Sully (partie A), du quai des Célestin (partie B), du quai des Ormes et du quai Saint-Paul. Le quai des Ormes fut formé au XIVe siècle. Il fut appelé anciennement quai Mofils ou de MonFils ou de l'Arche Beaufils. Il porta le nom de place aux Veaux au XVIIe siècle. La rue de Sully était précédemment la rue Neuve de Sully."
PLACE GEORGES MULOT,"Georges Mulot, ingénieur, dirigea le forage du puits artésien de Grenelle situé sur cette place.",Place créée en 1900 sur l'emplacement de l'abattoir de Grenelle.
PLACE ALICE GUY,"Alice Guy (Saint Mandé, 1873-Wayne, New Jersey (Etats Unis), 1968) pionnière du cinéma, considérée comme la première femme réalisatrice de l'histoire du cinéma.","Voie projetée dans le cadre du GPRU ""Plaisance-Porte de Vanves-Hôpital Broussais"" précédemment identifiée voie BW/14."
PLACE JEAN MARAIS,"Jean Villain-Marais (Cherbourg, 1913-Vallauris, 1998), acteur puis peintre et sculpteur.",
ALLEE MARIA CALLAS,"Maria Kalogéropoulos dite Maria Callas (New York, 1923-Paris, 1977) cantatrice. Elle a habité avenue Georges Mandel à Paris 16ème.",
RUE JULIE DAUBIE,"Julie-Victoire Daubié (Bains-les-Bains (Vosges), 1824-Fontenoy-le-Château (Vosges), 1874), femme de lettres, première bachelière française sous Napoléon III.","Voie projetée dans le cadre de l'aménagement de la Zac ""Paris Rive Gauche"" sur des terrains appartenant précédemment à la SNCF, précédemment dénommée voie BX/13."
CITE LECLAIRE,"M. Leclaire, propriétaire.",
PLACE MIREILLE,"Mireille Hartuch (Paris, 1906-Paris, 1996), compositrice et interprète, créatrice du célèbre ""Petit Conservatoire"" première institution de formation consacrée à la chanson.",
ALLEE MARIA DORIATH,"Maria Doriath (1913-2005), femme politique, conseillère générale de la Seine, conseillère municipale. Chevalier dans l'Ordre des Palmes académiques et titulaire de la Croix du Combattant.",
COUR DES PETITES ECURIES,Voisinage de la rue des Petites Ecuries.,"Située sur l'emplacement qu'occupaient les petites écuries royales, dans la 2ème partie du XVIIIème siècle. Voie composée de 2 tronçons: le tronçon (partie B) qui est compris entre le 11, cour des Petites Ecuries et le 18, rue d'Enghien, en prolongement du passage des Petites Ecuries, était dénommé précédemment passage des Petites Ecuries. Il a été dénommé cour des Petites Ecuries par arrêté de dénomination du 22 janvier 2001."
RUE PIERRE LE GRAND,"Pierre Ier dit le Grand (1672-1725), empereur de Russie ; voisinage de l'église orthodoxe russe.",
RUE CLEMENCE ROYER,"Clémence Royer (1830-1902), philosophe et économiste.","Le côté pair de cette voie, situé dans le secteur des Halles, fut déclassé par l'arr. du 17 août 1973, puis supprimé, ramenant la largeur de la voie de 29 m à 6 m."
RUE DE L'AMIRAL ROUSSIN,"Le baron Albin Reine Roussin (1781-1854), amiral.","Un décret du 2 octobre 1865 avait dénommé cette voie rue Roussin. Précédemment rue de la Vierge, entre les rues de la Croix Nivert et Lecourbe, et rue des Trois Frères, entre les rues Lecourbe et Blomet."
RUE MIGNET,"François Auguste Marie Mignet (1796-1884), historien français.",Ouverte sur les terrains du marquis de Casa Riera.
IMPASSE FRANCHEMONT,"M. Franchemont, propriétaire du terrain sur lequel la voie a été ouverte.",
RUE DU CONGO,Fleuve et contrée de l'Afrique équatoriale.,"Précédemment, rue Geoffroy-Château."
RUE SPINOZA,"Baruch Spinoza (1632-1677), philosophe hollandais.",
RUE CHARLES ROBIN,"Charles Philippe Robin (1821-1885), médecin et physiologiste ; voisinage de l'hôpital Saint-Louis.","Précédemment, partie de l'avenue Claude Vellefaux."
RUE NAVIER,"Claude Louis Marie Navier (1785-1836), ingénieur français.","Précédemment chemin des Epinettes. Cette voie, construite sur une largeur de 6 m, en même temps que le chemin de fer de Ceinture, avait été élargie à 9 m par emprise sur celui-ci en vertu d'une convention du 8 mai 1886 entre l'Etat et le Syndicat du chemin de fer de Ceinture, approuvée par une loi du 16 août 1886. La partie M a été ouverte par la Ville de Paris à la suite de la couverture du chemin de fer de Ceinture."
RUE TROUSSEAU,"Armand Trousseau (1801-1867), célèbre médecin français ; voisinage de l'ancien hôpital qui avait reçu son nom.","Précédemment, rue Sainte-Marguerite. Cette voie existait vers 1625."
RUE FRANCOIS BONVIN,"François Bonvin (1817-1887), peintre ; ancienne famille de Vaugirard.",Un arrêté préfectoral du 18 avril 1890 l'avait dénommée rue François Millet. Le nom François Bonvin avait été donné à une voie du 16e arrondissement appelée actuellement rue François Millet.
IMPASSE DU TALUS,Voisinage d'un ancien talus du chemin de fer de Ceinture.,Précédemment impasse Moreau.
PLACE DE BITCHE,"Bitche, ville de Lorraine, célèbre pour sa défense pendant la guerre de 1870-1871.","Précédemment, place de l'Eglise. Elle fut également appelée place du Parvis."
VILLA STENDHAL,Voisinage de la rue Stendhal.,
RUE DES PYRENEES,Chaîne de montagnes qui sépare la France et l'Espagne ; quartier montueux.,Précédemment partie de la rue de Puebla.
RUE DU PREVOT,Voisinage d'un ancien hôtel dit l'hôtel du Prévôt.,"Précédemment rue Percée. Guillot, en 1300 l'appelle rue Percié ; sur le rôle de la taille de 1313 c'est la rue Perciée. Rue Percée Saint-Paul, d'après La Tynna (1816) ; rue Percée Saint-Antoine, d'après Lazare (1844)."
RUE CARCEL,"Guillaume Carcel (1750-1812), horloger, inventeur de la lampe qui porte son nom.","Précédemment, petite rue de la Paix."
RUE FOUCAULT,"Jean Bernard Léon Foucault (1819-1868), physicien français, membre de l'Académie des Sciences.",Ouverte par la Ville de Paris.
RUE DE LA BIENFAISANCE,"Ainsi appelée en souvenir du médecin Goetz, mort en 1813, qui habitait au n° 9 et se signala par de nombreux actes de bienfaisance.","La partie entre le boulevard Malesherbes et l'avenue de Messine, précédemment appelée rue de Rovigo, a été réunie à la rue de la Bienfaisance par arrêté préfectoral du 16 août 1879. La rue de la Bienfaisance avait été dénommée rue de l'Observance, lors de son ouverture."
RUE DE LA PY,Lieu-dit.,Cette voie est indiquée sur le cadastre de la commune de Charonne dressé en 1812. Précédemment chemin de la Py dans la partie A et sentier des Falaises dans la partie B.
PASSAGE RAMEY,Voisinage de la rue Ramey.,Précédemment passage du Harlay.
VILLA MANIN,Voisinage de la rue Manin.,
PASSAGE DES TOURELLES,Voisinage de la rue des Tourelles.,"Ce passage a été formé par la réunion de l'impasse des Tourelles, du passage Sureau et du passage (ou impasse) Barnot. Anciennement passage du Méridien."
RUE LITTRE,"Emile Maximilien Littré (1801-1881), savant et érudit, auteur d'un grand dictionnaire de la langue française.",Ouverte par la Société foncière lyonnaise.
VILLA INDUSTRIELLE,Bordée d'ateliers.,
IMPASSE POULE,"M. Poule, propriétaire.",
IMPASSE DE LEVIS,Voisinage de la rue de Lévis.,Précédemment impasse Fauconnier.
IMPASSE BOUVART,Nom de propriétaire.,"En 1380, elle était désignée sous le nom de ruelle Longue Allée. Plus tard, ce fut la ruelle Josselin, la rue Jousselin ou Jousseline ou la rue Jusseline. En 1539, ruelle Saint-Hilaire. En 1880, impasse Bouvart."
RUE DU GUIGNIER,Ancienne plantation de cerisiers.,La partie B est tracée sur le cadastre de 1812.
RUE DU FOUARRE,"Dû aux écoles qui autrefois étaient jonchées de paille (en vieux français : feurre, fouarre).","Ouverte sur le Clos Mauvoisin. A porté le nom de rue des Ecoles ou des Ecoliers. Plus tard, rue du Feurre ou du Fouarre. La partie de la voie qui débouchait sur le quai de Montebello a été supprimée en 1887 lors de l'ouverture de la rue Lagrange."
PLACE DE JERUSALEM,"en rappel de la rue de Jérusalem, supprimée par l'agrandissement du Palais de Justice en 1883. hommage participant au travail de mémoire, d'histoire et de lutte contre toutes les formes de discriminations.",
RUE DE BRETAGNE,"Province de France ; voisinage de la place de France, projetée par Henri IV.","Précédemment, rue de Bretagne, dans la partie comprise entre les rues de Turenne et de Beauce (A), et rue de la Corderie, dans la partie comprise entre les rues de Beauce et du Temple (B). La partie B a aussi porté le nom de rue de la Corderie du Temple ou Cordière et, entre les rues de Beauce et Charlot, le nom de rue de Bourgogne. La partie A devait être à l'origine bordée de maisons uniformes, servitude qui ne fut pas suivie d'effet. La partie B, qui longeait les murs du Temple, est indiquée sur un plan de 1530."
VILLA RIBEROLLE,,
RUE DE TOCQUEVILLE,"Alexis Charles Henri Clerel de Tocqueville (1805-1859), historien et homme d'Etat français.",Précédemment rue et route d'Asnières et plus anciennement chemin d'Asnières. La partie A s'est appelée rue de Paris et a englobé le tronçon de la rue du Bac d'Asnières compris entre les rues Léon Cosnard et de Lévis. La partie B est tracée sur le plan de Jouvin de Rochefort (1672).
PASSAGE DE CRIMEE,Voisinage de la rue de Crimée.,Précédemment passage Saint-Hilaire.
RUE PECLET,"Jean Claude Eugène Péclet (1793-1857), physicien, fondateur de l'Ecole Centrale des Arts et Manufactures.",Précédemment partie de la descente de la Sablonnière et antérieurement partie de la rue du Perroquet dans le tronçon A. La partie C ouverte vers 1866 lors de la construction de la mairie du XVe arrondissement a été élargie par la Ville de Paris du côté pair en 1902. Le tronçon de la rue Petel compris entre l'actuelle rue Péclet et la rue Lecourbe faisait partie avant 1873 de la rue Péclet.
VILLA HALLE,Voisinage de la rue Hallé.,
RUE DE SCHOMBERG,"Gaspard de Schomberg ou Schonberg (1540-1599), homme de guerre d'origine allemande, l'un des compagnons d'armes de Henri IV ; voisinage de l'Arsenal.","La partie A a été ouverte par la Ville de Paris, sur les terrains de l'île Louviers."
RUE DE LA MEURTHE,Rivière de France.,Précédemment rue de Chartres.
RUE JOMARD,"Edme François Jomard (1777-1862), ingénieur géographe et archéologue français.",Précédemment partie de la place de l'Eglise.
RUE PERRONET,"Jean Rodolphe Perronet (1708-1794), ingénieur français ; voisinage de l'Ecole des Ponts et Chaussées dont il a été l'organisateur.","Précédemment partie de la rue Saint-Guillaume et plus anciennement partie de la rue de la Butte. Cette voie existait en 1523, elle est indiquée sur le plan de Gomboust (1652)."
QUAI DE L'ARCHEVECHE,Voisinage de l'ancien Archevêché.,Ce quai a porté en l'an XII le nom de Catinat et quelque temps après celui de quai de l'Archevêché. La partie qui s'étendait entre le pont de l'Archevêché et le pont au Double a été incorporée en 1911 au square de l'Archevêché dénommé square Jean XXIII en 1970.
RUE SIMON LE FRANC,"Dû peut-être à Simon Franque, bourgeois notable qui vivait au XIIe siècle.","Cette voie se terminait rue Saint-Martin. Le tronçon supprimé a été déclassé par arrêté du 13 août 1971. La partie qui s'étendait entre les rues Brisemiche et Saint-Martin (M) avait été supprimée en 1936 après expropriation et démolition d'immeubles compris dans le périmètre de l'îlot insalubre n° 1. La partie comprise entre les rues du Renard et Beaubourg et la rue Brisemiche a été supprimée dans le cadre de l'aménagement du secteur des Halles (Centre National d'Art Contemporain). Cette voie est déjà désignée sous le nom de rue Simon Le Franc sur des documents de 1237. La partie (M) précédemment rue Maubuée, portait déjà ce nom en 1323 ; en 1357, c'était la rue de la Fontaine Maubuée ; on l'a appelée rue de la Baudroierie aux XVe et XVIe siècles."
RUE BIGNON,"Baron Louis Pierre Edouard Bignon (1771-1841), homme politique.",Ouverte par la Ville de Paris sur des terrains expropriés pour le percement de l'avenue Daumesnil.
RUE TRONSON DU COUDRAY,"Guillaume Alexandre Tronson du Coudray (1750-1798), l'un des défenseurs de Marie-Antoinette ; voisinage de la Chapelle expiatoire.",Précédemment rue Notre-Dame de Grâce.
RUE SAINT-DIDIER,,"Précédemment, rue du Télégraphe (partie A) et rue Saint-Didier (partie B)."
PASSAGE FREQUEL,Nom de propriétaire.,
RUE ROY,"Le comte Antoine Roy (1764-1847), homme politique français, financier et homme d'Etat.",Précédemment rue Saint-Jean-Baptiste.
